time,FlowInExNtv
2011-04-24,140.0
2011-04-25,0.0
2011-04-26,0.0
2011-04-27,0.0
2011-04-28,0.0
2011-04-29,0.0
2011-04-30,0.0
2011-05-01,0.0
2011-05-02,0.0
2011-05-03,0.0
2011-05-04,0.0
2011-05-05,0.0
2011-05-06,0.0
2011-05-07,0.0
2011-05-08,10.0
2011-05-09,41.0
2011-05-10,22.826
2011-05-11,55.14
2011-05-12,1.37
2011-05-13,26.31
2011-05-14,17.39
2011-05-15,21.01
2011-05-16,3.27
2011-05-17,41.51
2011-05-18,71.98
2011-05-19,46.97
2011-05-20,193.5
2011-05-21,74.83
2011-05-22,71.54
2011-05-23,47.16
2011-05-24,37.6
2011-05-25,92.65
2011-05-26,44.44
2011-05-27,344.57
2011-05-28,145.86
2011-05-29,22.0
2011-05-30,20.11
2011-05-31,157.31
2011-06-01,24.87
2011-06-02,17.81
2011-06-03,112.78
2011-06-04,53.02407407
2011-06-05,794.27
2011-06-06,39.63
2011-06-07,309.49
2011-06-08,260.16
2011-06-09,261.19047799
2011-06-10,320.99
2011-06-11,260.34586077
2011-06-12,335.67905182
2011-06-13,257.05136586
2011-06-14,401.6487148
2011-06-15,307.658
2011-06-16,238.16903936
2011-06-17,131.87575174
2011-06-18,110.26
2011-06-19,169.302737
2011-06-20,79.84780943
2011-06-21,72.08109986
2011-06-22,343.26044613
2011-06-23,154.1195
2011-06-24,193.90744993
2011-06-25,88.1888
2011-06-26,64.0645
2011-06-27,566.19985503
2011-06-28,203.051
2011-06-29,189.3275
2011-06-30,87.37638659
2011-07-01,86.0525
2011-07-02,51.6608
2011-07-03,88.97977779
2011-07-04,247.8141415
2011-07-05,382.88849935
2011-07-06,192.07507118
2011-07-07,64.91142951
2011-07-08,320.74649612
2011-07-09,189.72768895
2011-07-10,160.589412
2011-07-11,114.49870562
2011-07-12,156.9643535
2011-07-13,186.06580732
2011-07-14,419.68579328
2011-07-15,100.34378639
2011-07-16,61.17292658
2011-07-17,173.22431401
2011-07-18,262.89344804
2011-07-19,197.80129253
2011-07-20,126.86813609
2011-07-21,190.51983779
2011-07-22,271.83847795
2011-07-23,151.55415469
2011-07-24,161.97968587
2011-07-25,250.96003561
2011-07-26,446.27731538
2011-07-27,362.07323107
2011-07-28,208.90394181
2011-07-29,300.98605706
2011-07-30,158.63135999
2011-07-31,123.17832446
2011-08-01,205.82663847
2011-08-02,516.09993753
