time,FlowOutExNtv
2011-04-24,0.0
2011-04-25,0.0
2011-04-26,0.0
2011-04-27,0.0
2011-04-28,0.0
2011-04-29,0.0
2011-04-30,0.0
2011-05-01,0.0
2011-05-02,0.0
2011-05-03,0.0
2011-05-04,0.0
2011-05-05,0.0
2011-05-06,0.0
2011-05-07,0.0
2011-05-08,0.0
2011-05-09,0.0
2011-05-10,0.0
2011-05-11,12.91
2011-05-12,0.0
2011-05-13,49.9
2011-05-14,9.22
2011-05-15,121.95
2011-05-16,4.28
2011-05-17,10.51
2011-05-18,57.06
2011-05-19,54.98
2011-05-20,151.45
2011-05-21,15.96
2011-05-22,78.02
2011-05-23,85.46
2011-05-24,39.45
2011-05-25,132.04
2011-05-26,236.97
2011-05-27,42.72
2011-05-28,207.03
2011-05-29,157.18
2011-05-30,16.96
2011-05-31,164.9
2011-06-01,126.2
2011-06-02,15.72
2011-06-03,111.83
2011-06-04,56.05007407
2011-06-05,19.53
2011-06-06,64.8
2011-06-07,112.91
2011-06-08,222.47
2011-06-09,131.37
2011-06-10,117.4
2011-06-11,127.7916
2011-06-12,227.46
2011-06-13,191.58262612
2011-06-14,144.6
2011-06-15,255.18779156
2011-06-16,78.90320616
2011-06-17,74.85519718
2011-06-18,231.59
2011-06-19,178.3355
2011-06-20,68.5115
2011-06-21,96.072
2011-06-22,132.713
2011-06-23,40.3415
2011-06-24,1218.8857377
2011-06-25,256.805
2011-06-26,180.8405
2011-06-27,131.917
2011-06-28,155.2805
2011-06-29,82.339
2011-06-30,37.82
2011-07-01,48.832
2011-07-02,52.295
2011-07-03,41.44560411
2011-07-04,152.2969
2011-07-05,348.16149705
2011-07-06,93.63
2011-07-07,44.9545
2011-07-08,39.6871811
2011-07-09,155.155
2011-07-10,391.63849578
2011-07-11,37.4161441
2011-07-12,122.372
2011-07-13,97.9685
2011-07-14,163.12949999
2011-07-15,95.07159415
2011-07-16,108.47845506
2011-07-17,87.19649999
2011-07-18,152.83778158
2011-07-19,160.42587607
2011-07-20,106.31899842
2011-07-21,90.28744674
2011-07-22,89.41892979
2011-07-23,173.6465
2011-07-24,142.46689925
2011-07-25,71.3565
2011-07-26,323.17886389
2011-07-27,186.84868089
2011-07-28,309.07205087
2011-07-29,219.00107031
2011-07-30,34.74404784
2011-07-31,104.24811063
2011-08-01,84.62335271
2011-08-02,520.87049625
2011-08-03,393.66085955
2011-08-04,399.74573985
2011-08-05,354.84184868
2011-08-06,412.7042159
2011-08-07,185.57463216
2011-08-08,153.3671597
2011-08-09,353.50417726
2011-08-10,394.13425887
2011-08-11,132.02853706
2011-08-12,217.05802359
2011-08-13,181.16254247
2011-08-14,110.44118066
2011-08-15,91.20779186
2011-08-16,263.68429685
2011-08-17,99.97795854
