time,SplyExpFut10yr
2009-01-09,17070250.0
2009-01-10,17071012.5
2009-01-11,17072175.0
2009-01-12,17073350.0
2009-01-13,17074887.5
2009-01-14,17076500.0
2009-01-15,17078075.0
2009-01-16,17079425.0
2009-01-17,17080787.5
2009-01-18,17082125.0
2009-01-19,17083562.5
2009-01-20,17084987.5
2009-01-21,17086262.5
2009-01-22,17087400.0
2009-01-23,17088450.0
2009-01-24,17090962.5
2009-01-25,17093350.0
2009-01-26,17094550.0
2009-01-27,17095762.5
2009-01-28,17097162.5
2009-01-29,17098675.0
2009-01-30,17100137.5
2009-01-31,17101862.5
2009-02-01,17103275.0
2009-02-02,17104875.0
2009-02-03,17106612.5
2009-02-04,17108100.0
2009-02-05,17109675.0
2009-02-06,17111200.0
2009-02-07,17112812.5
2009-02-08,17114462.5
2009-02-09,17116137.5
2009-02-10,17117637.5
2009-02-11,17119300.0
2009-02-12,17120787.5
2009-02-13,17122337.5
2009-02-14,17124037.5
2009-02-15,17125637.5
2009-02-16,17127162.5
2009-02-17,17128625.0
2009-02-18,17130100.0
2009-02-19,17131650.0
2009-02-20,17133175.0
2009-02-21,17134600.0
2009-02-22,17136112.5
2009-02-23,17137462.5
2009-02-24,17138787.5
2009-02-25,17140100.0
2009-02-26,17141437.5
2009-02-27,17142875.0
2009-02-28,17144112.5
2009-03-01,17145425.0
2009-03-02,17146775.0
2009-03-03,17148087.5
2009-03-04,17149387.5
2009-03-05,17150787.5
2009-03-06,17152250.0
2009-03-07,17153612.5
2009-03-08,17155050.0
2009-03-09,17156400.0
2009-03-10,17157737.5
2009-03-11,17159162.5
2009-03-12,17160637.5
2009-03-13,17162050.0
2009-03-14,17163425.0
2009-03-15,17164962.5
2009-03-16,17166475.0
2009-03-17,17167900.0
2009-03-18,17169325.0
2009-03-19,17170850.0
2009-03-20,17172325.0
2009-03-21,17172950.0
2009-03-22,17174437.5
2009-03-23,17176062.5
2009-03-24,17177375.0
2009-03-25,17178837.5
2009-03-26,17180300.0
2009-03-27,17181625.0
2009-03-28,17183112.5
2009-03-29,17184562.5
2009-03-30,17186062.5
2009-03-31,17187437.5
2009-04-01,17188862.5
2009-04-02,17190300.0
2009-04-03,17191750.0
2009-04-04,17193162.5
2009-04-05,17194787.5
2009-04-06,17196150.0
2009-04-07,17197400.0
2009-04-08,17198712.5
2009-04-09,17199950.0
2009-04-10,17201300.0
2009-04-11,17202800.0
2009-04-12,17204275.0
2009-04-13,17205712.5
2009-04-14,17207262.5
2009-04-15,17208675.0
2009-04-16,17210212.5
2009-04-17,17211612.5
2009-04-18,17213187.5
2009-04-19,17214675.0
2009-04-20,17216162.5
2009-04-21,17217700.0
2009-04-22,17219212.5
2009-04-23,17220150.0
2009-04-24,17221587.5
2009-04-25,17223062.5
2009-04-26,17224462.5
2009-04-27,17225762.5
2009-04-28,17227225.0
2009-04-29,17228825.0
2009-04-30,17230462.5
2009-05-01,17231975.0
2009-05-02,17233550.0
2009-05-03,17234875.0
2009-05-04,17236475.0
2009-05-05,17238162.5
2009-05-06,17239850.0
2009-05-07,17241375.0
2009-05-08,17242712.5
2009-05-09,17243687.5
2009-05-10,17244750.0
2009-05-11,17246250.0
2009-05-12,17247875.0
2009-05-13,17249262.5
2009-05-14,17251000.0
2009-05-15,17252700.0
2009-05-16,17254187.5
2009-05-17,17255775.0
2009-05-18,17257250.0
2009-05-19,17258325.0
2009-05-20,17259825.0
2009-05-21,17260850.0
2009-05-22,17261612.5
2009-05-23,17262012.5
2009-05-24,17263262.5
2009-05-25,17264625.0
2009-05-26,17266187.5
2009-05-27,17267675.0
2009-05-28,17268862.5
2009-05-29,17270187.5
2009-05-30,17271550.0
2009-05-31,17272750.0
2009-06-01,17273637.5
2009-06-02,17275025.0
2009-06-03,17275912.5
2009-06-04,17276737.5
2009-06-05,17277112.5
2009-06-06,17277462.5
2009-06-07,17277662.5
2009-06-08,17278687.5
2009-06-09,17279825.0
2009-06-10,17280850.0
2009-06-11,17281962.5
2009-06-12,17283037.5
2009-06-13,17284012.5
2009-06-14,17284912.5
2009-06-15,17285962.5
2009-06-16,17286850.0
2009-06-17,17287837.5
2009-06-18,17288837.5
2009-06-19,17289925.0
2009-06-20,17290900.0
2009-06-21,17291912.5
2009-06-22,17292862.5
2009-06-23,17293812.5
2009-06-24,17295000.0
2009-06-25,17295850.0
2009-06-26,17296975.0
2009-06-27,17298025.0
2009-06-28,17298600.0
2009-06-29,17299637.5
2009-06-30,17300700.0
2009-07-01,17301625.0
2009-07-02,17302662.5
2009-07-03,17303687.5
2009-07-04,17304800.0
2009-07-05,17305787.5
2009-07-06,17306837.5
2009-07-07,17307700.0
2009-07-08,17308625.0
2009-07-09,17309700.0
2009-07-10,17310712.5
2009-07-11,17311750.0
2009-07-12,17312712.5
2009-07-13,17313687.5
2009-07-14,17314550.0
2009-07-15,17315112.5
2009-07-16,17316000.0
2009-07-17,17316587.5
2009-07-18,17316637.5
2009-07-19,17317512.5
2009-07-20,17318387.5
2009-07-21,17319412.5
2009-07-22,17320162.5
2009-07-23,17321112.5
2009-07-24,17322025.0
2009-07-25,17322425.0
2009-07-26,17322687.5
2009-07-27,17323612.5
2009-07-28,17324125.0
2009-07-29,17324362.5
2009-07-30,17324550.0
2009-07-31,17324762.5
2009-08-01,17325112.5
2009-08-02,17325400.0
2009-08-03,17325550.0
2009-08-04,17326562.5
2009-08-05,17327650.0
2009-08-06,17328775.0
2009-08-07,17329775.0
2009-08-08,17330775.0
2009-08-09,17332037.5
2009-08-10,17332975.0
2009-08-11,17333850.0
2009-08-12,17334637.5
2009-08-13,17335700.0
2009-08-14,17336487.5
2009-08-15,17336812.5
2009-08-16,17337050.0
2009-08-17,17337262.5
2009-08-18,17337387.5
2009-08-19,17337612.5
2009-08-20,17337887.5
