time,TxTfrValNtv
2010-08-28,12313.2799979
2010-09-01,16838.3400001
2010-09-05,30472.94
2010-09-09,17065.4200001
2010-09-13,28146.85
2010-09-17,69597.94
2010-09-21,16484.39
2010-09-25,23699.01
2010-09-29,24535.23
2010-10-03,36444.07
2010-10-07,94175.41
2010-10-11,24543.64
2010-10-15,39505.99
2010-10-19,36214.33
2010-10-23,21698.44
2010-10-27,86435.32
2010-10-31,47020.71
2010-11-04,125735.78
2010-11-08,416232.05
2010-11-12,13970.64
2010-11-16,30316.41
2010-11-20,44034.42
2010-11-24,24164.49
2010-11-28,12239.15
2010-12-02,38939.16
2010-12-06,66230.0359811601
2010-12-10,12543.86
2010-12-14,14767.32897246
2010-12-18,25904.97
2010-12-22,22677.21104348
2010-12-26,8531.09
2010-12-30,25788.7
2011-01-03,25985.56
2011-01-07,20063.7939999
2011-01-11,61592.57614891
2011-01-15,14321.01048576
2011-01-19,36488.51607629
2011-01-23,50205.95
2011-01-27,731892.97
2011-01-31,45147.6
2011-02-04,29739.23
2011-02-08,20586.35
2011-02-12,24250.96
2011-02-16,19232.76
2011-02-20,44346.16951424
2011-02-24,36492.38951424
2011-02-28,44853.20055008
2011-03-04,43852.28229293
2011-03-08,60213.65351798
2011-03-12,72446.57990595
2011-03-16,72857.87997888
2011-03-20,49815.52525632
2011-03-24,88048.45048576
2011-03-28,64854.19250001
2011-04-01,51114.44441377
2011-04-05,57774.74730001
2011-04-09,60593.8401
2011-04-13,71271.59777784
2011-04-17,692979.417500001
2011-04-21,90075.57507709
2011-04-25,46628.66214488
2011-04-29,210222.18622564
2011-05-03,107441.59753976
2011-05-07,94914.93415259
2011-05-11,106482.7601005
2011-05-15,212591.92178611
2011-05-19,57286.7685808
2011-05-23,90987.8191388701
2011-05-27,341354.70724468
2011-05-31,72841.97540986
2011-06-04,86006.18177037
2011-06-08,199884.44006399
2011-06-12,630341.72736816
2011-06-16,170574.69032468
2011-06-20,87441.48741444
2011-06-24,91307.3756180201
2011-06-28,110481.10214384
2011-07-02,88562.36582408
2011-07-06,75532.55781064
2011-07-10,61532.04764294
2011-07-14,52839.88805095
2011-07-18,201015.66719621
2011-07-22,65828.45507417
2011-07-26,64124.48687124
2011-07-30,48819.36457413
2011-08-03,94046.22458934
2011-08-07,101076.72525564
2011-08-11,60444.91504665
2011-08-29,48569.37409569
2011-09-02,55643.08533553
2011-09-06,81373.3291951999
2011-09-10,61160.84693594
2011-09-14,74521.4846252
2011-09-18,58428.07802115
2011-09-22,74489.18901054
2011-09-26,61650.79993864
2011-09-30,61262.50145082
2011-10-04,78435.00549652
2011-10-08,67601.75489023
2011-10-12,69646.61460159
2011-10-16,65366.5875019
2011-10-20,97412.86738937
2011-10-24,122965.77266283
2011-10-28,132052.32199967
2011-11-01,107841.09340949
2011-11-05,97705.39760815
2011-11-09,284325.45260912
2011-11-13,68369.8588738
2011-11-17,3081420.66066416
2011-11-21,4714677.13905644
2011-11-25,189433.43927112
2011-11-29,3007337.78828949
2011-12-03,3685137.56528274
2011-12-07,5759853.1419341
2011-12-11,302281.24919026
2011-12-15,151778.69334152
2011-12-19,173288.22019522
2011-12-23,112634.11971396
2011-12-27,94848.04086941
2011-12-31,85946.66659757
2012-01-04,139580.30543948
2012-01-08,112441.12517886
2012-01-12,130996.00964731
2012-01-16,164179.83117813
2012-01-20,128003.27501975
2012-01-24,167485.02152983
2012-01-28,112091.39667633
2012-02-01,166008.52870094
2012-02-05,118970.41624822
2012-02-09,89959.41793338
2012-02-13,214719.73685634
2012-02-17,188384.45596166
2012-02-21,129796.64830597
2012-02-25,168493.47280705
2012-02-29,119498.92391157
2012-03-04,92806.75502751
2012-03-08,125216.12673605
2012-03-12,122475.38399323
2012-03-16,149658.13463064
2012-03-20,166994.04553734
2012-03-24,108977.54672439
2012-03-28,149775.89668238
2012-04-01,97609.51919772
2012-04-05,135008.9628521
2012-04-09,362581.5874283
2012-04-13,209357.35231315
2012-04-17,178400.42226163
2012-04-21,203116.07459475
2012-04-25,203739.01041132
2012-04-29,168285.59639535
2012-05-03,165785.40422591
2012-05-07,227327.77752416
2012-05-11,271812.47151089
2012-05-15,256654.85396349
2012-05-19,197347.58727961
2012-05-23,242758.13085828
2012-05-27,216231.00341462
2012-05-31,525727.65054433
2012-06-04,345001.02971568
2012-06-08,259419.45188789
2012-06-12,277818.43323487
2012-06-16,272919.70453025
2012-06-20,320039.1397631
2012-06-24,285799.96647297
2012-06-28,234304.047454
2012-07-02,270940.70229306
2012-07-06,209352.32344873
2012-07-10,300305.09995743
2012-07-14,279670.86911178
2012-07-18,316887.58512606
2012-07-22,202515.3848798
2012-07-26,282119.9149959
2012-07-30,289004.26794721
2012-08-03,306971.35047939
2012-08-07,244427.3034898
2012-08-11,177177.96321515
2012-08-15,257476.2261848
2012-08-19,913653.23041628
2012-08-23,372726.74308903
2012-08-27,394716.13647632
2012-08-31,486867.88043682
2012-09-04,329214.12985171
2012-09-08,260182.64292149
2012-09-12,334865.49339417
2012-09-16,343128.64210614
2012-09-20,376466.29772746
2012-09-24,369204.74882906
2012-09-28,351974.60442139
2012-10-02,393993.633349579
2012-10-06,178707.41514945
2012-10-10,239525.40542711
2012-10-14,182084.86608375
2012-10-18,282881.13044481
2012-10-22,286285.32336152
2012-10-26,540576.87167429
2012-10-30,502985.57317562
2012-11-03,209464.59316139
2012-11-07,328871.72598362
2012-11-11,158364.24082143
2012-11-15,289210.20184523
2012-11-19,323727.12568836
2012-11-23,199335.46326773
2012-11-27,315857.10628145
2012-12-01,281483.67034382
2012-12-05,340834.77140534
2012-12-09,233222.25030992
2012-12-13,434994.87194507
2012-12-17,249679.38538447
2012-12-21,256091.76024866
2012-12-25,161603.66655146
2012-12-29,212853.9798376
2013-01-02,333145.03290743
2013-01-06,171047.45485087
2013-01-10,286295.80209577
2013-01-14,221083.78146802
2013-01-18,300106.99417314
2013-01-22,394755.95827732
2013-01-26,292070.6958673
2013-01-30,499217.95099667
2013-02-03,275880.77419393
2013-02-07,328435.68767932
2013-02-11,247965.40113493
2013-02-15,315916.8889714
2013-02-19,303914.01765057
2013-02-23,321342.1065149
2013-02-27,287699.19385652
2013-03-03,153902.88982888
2013-03-07,390468.29375192
2013-03-11,234044.5685671
2013-03-15,274015.69120536
2013-03-19,359620.83473885
2013-03-23,245023.82782496
2013-03-27,284781.67816787
2013-03-31,157758.61994749
2013-04-04,297783.69392127
2013-04-08,362406.50658142
2013-04-12,461957.32240668
2013-04-16,541816.07618154
2013-04-20,183846.28816334
2013-04-24,281505.66854262
2013-04-28,139728.3078556
2013-05-02,330768.09668799
2013-05-06,314474.32533327
2013-05-10,222930.38010619
2013-05-14,264787.43811775
2013-05-18,188230.10700316
2013-05-22,162032.18684446
2013-05-26,78026.5682155601
2013-05-30,217701.24885039
2013-06-03,280301.45792514
2013-06-07,232258.04477953
2013-06-11,172537.64461704
2013-06-15,128115.81741138
2013-06-19,141255.46868804
2013-06-23,127314.87765479
2013-06-27,150970.88620506
2013-07-01,294240.85828946
2013-07-05,341267.88263785
2013-07-09,384472.99759006
2013-07-13,305509.65131541
2013-07-17,391840.04799078
2013-07-21,162629.26352687
2013-07-25,204045.05804337
2013-07-29,197692.70584656
2013-08-02,191438.45372861
2013-08-06,159121.72343779
2013-08-10,137639.0072705
2013-08-14,246293.69830471
2013-08-18,107525.68651055
2013-08-22,183303.98887404
