time,FeeTotNtv,AdrActCnt,AdrBalCnt,BlkCnt,CapMrktCurUSD,HashRate,SplyCur,TxCnt,PriceUSD
2009-01-03,0.0,0.0,0.0,0.0,,,0.0,0.0,
2009-01-04,0.0,0.0,0.0,0.0,,,0.0,0.0,
2009-01-05,0.0,0.0,0.0,0.0,,,0.0,0.0,
2009-01-06,0.0,0.0,0.0,0.0,,,0.0,0.0,
2009-01-07,0.0,0.0,0.0,0.0,,,0.0,0.0,
2009-01-08,0.0,0.0,0.0,0.0,,,0.0,0.0,
2009-01-09,0.0,19.0,19.0,19.0,,9.444951229e-07,950.0,0.0,
2009-01-10,0.0,61.0,80.0,61.0,,3.0323264474e-06,4000.0,0.0,
2009-01-11,0.0,95.0,174.0,93.0,,4.6230550755e-06,8650.0,1.0,
2009-01-12,0.0,101.0,272.0,94.0,,4.6727653451e-06,13350.0,6.0,
2009-01-13,0.0,123.0,395.0,123.0,,6.1143631644e-06,19500.0,0.0,
2009-01-14,0.0,133.0,522.0,129.0,,6.4126247822e-06,25950.0,1.0,
2009-01-15,0.0,140.0,647.0,126.0,,6.2634939733e-06,32250.0,8.0,
2009-01-16,0.0,114.0,753.0,108.0,,5.36870912e-06,37650.0,2.0,
2009-01-17,0.0,109.0,862.0,109.0,,5.4184193896e-06,43100.0,0.0,
2009-01-18,0.0,111.0,967.0,107.0,,5.3189988503e-06,48450.0,1.0,
2009-01-19,0.0,133.0,1067.0,115.0,,5.7166810074e-06,54200.0,2.0,
2009-01-20,0.0,123.0,1174.0,114.0,,5.6669707377e-06,59900.0,1.0,
2009-01-21,0.0,116.0,1265.0,102.0,,5.0704475022e-06,65000.0,2.0,
2009-01-22,0.0,95.0,1354.0,91.0,,4.5236345362e-06,69550.0,1.0,
2009-01-23,0.0,91.0,1432.0,84.0,,4.1756626488e-06,73750.0,1.0,
2009-01-24,0.0,212.0,1624.0,201.0,,9.9917641955e-06,83800.0,1.0,
2009-01-25,0.0,193.0,1815.0,191.0,,9.4946614992e-06,93350.0,1.0,
2009-01-26,0.0,117.0,1891.0,96.0,,4.7721858844e-06,98150.0,1.0,
2009-01-27,0.0,101.0,1986.0,97.0,,4.821896154e-06,103000.0,1.0,
2009-01-28,0.0,112.0,2098.0,112.0,,5.5675501985e-06,108600.0,0.0,
2009-01-29,0.0,134.0,2207.0,121.0,,6.0149426251e-06,114650.0,1.0,
2009-01-30,0.0,117.0,2324.0,117.0,,5.8161015466e-06,120500.0,0.0,
2009-01-31,0.0,159.0,2443.0,138.0,,6.8600172088e-06,127400.0,1.0,
2009-02-01,0.0,116.0,2555.0,113.0,,5.6172604681e-06,133050.0,1.0,
2009-02-02,0.0,130.0,2683.0,128.0,,6.3629145125e-06,139450.0,1.0,
2009-02-03,2.01,154.0,2831.0,139.0,,6.9097274785e-06,146400.0,16.0,
2009-02-04,0.0,119.0,2950.0,119.0,,5.9155220859e-06,152350.0,0.0,
2009-02-05,0.0,126.0,3076.0,126.0,,6.2634939733e-06,158650.0,0.0,
2009-02-06,0.0,122.0,3198.0,122.0,,6.0646528948e-06,164750.0,0.0,
2009-02-07,0.0,156.0,3308.0,129.0,,6.4126247822e-06,171200.0,4.0,
2009-02-08,0.0,134.0,3440.0,132.0,,6.5617555911e-06,177800.0,1.0,
2009-02-09,0.0,179.0,3530.0,134.0,,6.6611761303e-06,184500.0,1.0,
2009-02-10,0.0,120.0,3650.0,120.0,,5.9652323555e-06,190500.0,0.0,
2009-02-11,0.0,148.0,3771.0,133.0,,6.6114658607e-06,197150.0,2.0,
2009-02-12,0.0,119.0,3890.0,119.0,,5.9155220859e-06,203100.0,0.0,
2009-02-13,0.0,124.0,4014.0,124.0,,6.164073434e-06,209300.0,0.0,
2009-02-14,0.0,136.0,4150.0,136.0,,6.7605966696e-06,216100.0,0.0,
2009-02-15,0.0,142.0,4268.0,128.0,,6.3629145125e-06,222500.0,3.0,
2009-02-16,0.0,153.0,4360.0,122.0,,6.0646528948e-06,228600.0,1.0,
2009-02-17,0.0,117.0,4477.0,117.0,,5.8161015466e-06,234450.0,0.0,
2009-02-18,0.0,118.0,4595.0,118.0,,5.8658118162e-06,240350.0,0.0,
2009-02-19,0.0,141.0,4703.0,124.0,,6.164073434e-06,246550.0,1.0,
2009-02-20,0.0,122.0,4825.0,122.0,,6.0646528948e-06,252650.0,0.0,
2009-02-21,0.0,114.0,4939.0,114.0,,5.6669707377e-06,258350.0,0.0,
2009-02-22,0.0,133.0,5053.0,121.0,,6.0149426251e-06,264400.0,4.0,
2009-02-23,0.0,108.0,5161.0,108.0,,5.36870912e-06,269800.0,0.0,
2009-02-24,0.0,106.0,5267.0,106.0,,5.2692885807e-06,275100.0,0.0,
2009-02-25,0.0,105.0,5372.0,105.0,,5.2195783111e-06,280350.0,0.0,
2009-02-26,0.0,107.0,5479.0,107.0,,5.3189988503e-06,285700.0,0.0,
2009-02-27,0.0,152.0,5558.0,115.0,,5.7166810074e-06,291450.0,1.0,
2009-02-28,0.0,107.0,5650.0,99.0,,4.9213166933e-06,296400.0,1.0,
2009-03-01,0.0,105.0,5755.0,105.0,,5.2195783111e-06,301650.0,0.0,
2009-03-02,0.0,108.0,5863.0,108.0,,5.36870912e-06,307050.0,0.0,
2009-03-03,0.0,114.0,5960.0,105.0,,5.2195783111e-06,312300.0,2.0,
2009-03-04,0.0,130.0,6040.0,104.0,,5.1698680414e-06,317500.0,2.0,
2009-03-05,0.0,121.0,6144.0,112.0,,5.5675501985e-06,323100.0,1.0,
2009-03-06,0.0,117.0,6261.0,117.0,,5.8161015466e-06,328950.0,0.0,
2009-03-07,0.0,109.0,6370.0,109.0,,5.4184193896e-06,334400.0,0.0,
2009-03-08,0.0,142.0,6461.0,115.0,,5.7166810074e-06,340150.0,3.0,
2009-03-09,0.0,108.0,6569.0,108.0,,5.36870912e-06,345550.0,0.0,
2009-03-10,0.0,107.0,6676.0,107.0,,5.3189988503e-06,350900.0,0.0,
2009-03-11,0.0,114.0,6790.0,114.0,,5.6669707377e-06,356600.0,0.0,
2009-03-12,0.0,122.0,6906.0,118.0,,5.8658118162e-06,362500.0,1.0,
2009-03-13,0.0,127.0,7006.0,113.0,,5.6172604681e-06,368150.0,1.0,
2009-03-14,0.0,110.0,7116.0,110.0,,5.4681296592e-06,373650.0,0.0,
2009-03-15,0.0,123.0,7239.0,123.0,,6.1143631644e-06,379800.0,0.0,
2009-03-16,0.0,170.0,7312.0,121.0,,6.0149426251e-06,385850.0,1.0,
2009-03-17,0.0,114.0,7426.0,114.0,,5.6669707377e-06,391550.0,0.0,
2009-03-18,0.0,129.0,7526.0,114.0,,5.6669707377e-06,397250.0,2.0,
2009-03-19,0.0,122.0,7648.0,122.0,,6.0646528948e-06,403350.0,0.0,
2009-03-20,0.0,131.0,7754.0,118.0,,5.8658118162e-06,409250.0,1.0,
2009-03-21,0.0,50.0,7804.0,50.0,,2.4855134814e-06,411750.0,0.0,
2009-03-22,0.0,131.0,7912.0,119.0,,5.9155220859e-06,417700.0,2.0,
2009-03-23,0.0,130.0,8042.0,130.0,,6.4623350518e-06,424200.0,0.0,
2009-03-24,0.0,105.0,8147.0,105.0,,5.2195783111e-06,429450.0,0.0,
2009-03-25,0.0,117.0,8264.0,117.0,,5.8161015466e-06,435300.0,0.0,
2009-03-26,0.0,146.0,8353.0,117.0,,5.8161015466e-06,441150.0,1.0,
2009-03-27,0.0,106.0,8459.0,106.0,,5.2692885807e-06,446450.0,0.0,
2009-03-28,0.0,140.0,8558.0,119.0,,5.9155220859e-06,452400.0,3.0,
2009-03-29,0.0,116.0,8674.0,116.0,,5.766391277e-06,458200.0,0.0,
2009-03-30,0.0,120.0,8794.0,120.0,,5.9652323555e-06,464200.0,0.0,
2009-03-31,0.0,143.0,8872.0,110.0,,5.4681296592e-06,469700.0,1.0,
2009-04-01,0.0,114.0,8986.0,114.0,,5.6669707377e-06,475400.0,0.0,
2009-04-02,0.0,115.0,9101.0,115.0,,5.7166810074e-06,481150.0,0.0,
2009-04-03,0.0,116.0,9217.0,116.0,,5.766391277e-06,486950.0,0.0,
2009-04-04,0.0,113.0,9330.0,113.0,,5.6172604681e-06,492600.0,0.0,
2009-04-05,0.0,148.0,9443.0,130.0,,6.4623350518e-06,499100.0,2.0,
2009-04-06,0.0,109.0,9552.0,109.0,,5.4184193896e-06,504550.0,0.0,
2009-04-07,0.0,100.0,9652.0,100.0,,4.9710269629e-06,509550.0,0.0,
2009-04-08,0.0,105.0,9757.0,105.0,,5.2195783111e-06,514800.0,0.0,
2009-04-09,0.0,99.0,9856.0,99.0,,4.9213166933e-06,519750.0,0.0,
2009-04-10,0.0,108.0,9964.0,108.0,,5.36870912e-06,525150.0,0.0,
2009-04-11,0.0,128.0,10078.0,120.0,,5.9652323555e-06,531150.0,1.0,
2009-04-12,0.0,127.0,10189.0,118.0,,5.8658118162e-06,537050.0,2.0,
2009-04-13,0.0,117.0,10305.0,115.0,,5.7166810074e-06,542800.0,1.0,
2009-04-14,0.0,124.0,10429.0,124.0,,6.164073434e-06,549000.0,0.0,
2009-04-15,0.0,113.0,10542.0,113.0,,5.6172604681e-06,554650.0,0.0,
2009-04-16,0.0,123.0,10665.0,123.0,,6.1143631644e-06,560800.0,0.0,
2009-04-17,0.0,112.0,10777.0,112.0,,5.5675501985e-06,566400.0,0.0,
2009-04-18,0.0,131.0,10903.0,126.0,,6.2634939733e-06,572700.0,4.0,
2009-04-19,0.0,128.0,11014.0,119.0,,5.9155220859e-06,578650.0,1.0,
2009-04-20,0.0,236.0,11019.0,119.0,,5.9155220859e-06,584600.0,2.0,
2009-04-21,0.0,125.0,11143.0,123.0,,6.1143631644e-06,590750.0,1.0,
2009-04-22,0.0,121.0,11264.0,121.0,,6.0149426251e-06,596800.0,0.0,
2009-04-23,0.0,75.0,11339.0,75.0,,3.7282702222e-06,600550.0,0.0,
2009-04-24,0.0,115.0,11454.0,115.0,,5.7166810074e-06,606300.0,0.0,
2009-04-25,0.0,118.0,11572.0,118.0,,5.8658118162e-06,612200.0,0.0,
2009-04-26,0.0,128.0,11669.0,112.0,,5.5675501985e-06,617800.0,2.0,
2009-04-27,0.0,104.0,11773.0,104.0,,5.1698680414e-06,623000.0,0.0,
2009-04-28,0.0,117.0,11890.0,117.0,,5.8161015466e-06,628850.0,0.0,
2009-04-29,0.0,149.0,11998.0,128.0,,6.3629145125e-06,635250.0,1.0,
2009-04-30,0.0,131.0,12129.0,131.0,,6.5120453214e-06,641800.0,0.0,
2009-05-01,0.0,121.0,12250.0,121.0,,6.0149426251e-06,647850.0,0.0,
2009-05-02,0.03,142.0,12365.0,126.0,,6.2634939733e-06,654150.0,2.0,
2009-05-03,0.0,110.0,12472.0,106.0,,5.2692885807e-06,659450.0,3.0,
2009-05-04,0.0,159.0,12570.0,128.0,,6.3629145125e-06,665850.0,1.0,
2009-05-05,0.0,146.0,12695.0,135.0,,6.7108864e-06,672600.0,1.0,
2009-05-06,0.0,135.0,12830.0,135.0,,6.7108864e-06,679350.0,0.0,
2009-05-07,0.0,122.0,12952.0,122.0,,6.0646528948e-06,685450.0,0.0,
2009-05-08,0.0,107.0,13059.0,107.0,,5.3189988503e-06,690800.0,0.0,
2009-05-09,0.0,78.0,13137.0,78.0,,3.8774010311e-06,694700.0,0.0,
2009-05-10,0.0,85.0,13222.0,85.0,,4.2253729185e-06,698950.0,0.0,
2009-05-11,0.1,123.0,13342.0,120.0,,5.9652323555e-06,704950.0,1.0,
2009-05-12,0.0,130.0,13472.0,130.0,,6.4623350518e-06,711450.0,0.0,
2009-05-13,0.0,117.0,13584.0,111.0,,5.5178399288e-06,717000.0,5.0,
2009-05-14,0.0,145.0,13722.0,139.0,,6.9097274785e-06,723950.0,3.0,
2009-05-15,0.0,147.0,13848.0,136.0,,6.7605966696e-06,730750.0,1.0,
2009-05-16,0.0,119.0,13967.0,119.0,,5.9155220859e-06,736700.0,0.0,
2009-05-17,0.0,127.0,14094.0,127.0,,6.3132042429e-06,743050.0,0.0,
2009-05-18,0.0,118.0,14212.0,118.0,,5.8658118162e-06,748950.0,0.0,
2009-05-19,0.0,86.0,14298.0,86.0,,4.2750831881e-06,753250.0,0.0,
2009-05-20,0.0,120.0,14418.0,120.0,,5.9652323555e-06,759250.0,0.0,
2009-05-21,0.0,82.0,14500.0,82.0,,4.0762421096e-06,763350.0,0.0,
2009-05-22,0.0,61.0,14561.0,61.0,,3.0323264474e-06,766400.0,0.0,
2009-05-23,0.0,32.0,14593.0,32.0,,1.5907286281e-06,768000.0,0.0,
2009-05-24,0.0,100.0,14693.0,100.0,,4.9710269629e-06,773000.0,0.0,
2009-05-25,0.0,109.0,14802.0,109.0,,5.4184193896e-06,778450.0,0.0,
2009-05-26,0.0,125.0,14927.0,125.0,,6.2137837037e-06,784700.0,0.0,
2009-05-27,0.0,119.0,15046.0,119.0,,5.9155220859e-06,790650.0,0.0,
2009-05-28,0.0,95.0,15141.0,95.0,,4.7224756148e-06,795400.0,0.0,
2009-05-29,0.0,167.0,15187.0,106.0,,5.2692885807e-06,800700.0,1.0,
2009-05-30,0.0,109.0,15296.0,109.0,,5.4184193896e-06,806150.0,0.0,
2009-05-31,0.0,96.0,15392.0,96.0,,4.7721858844e-06,810950.0,0.0,
2009-06-01,0.0,73.0,15464.0,71.0,,3.5294291437e-06,814500.0,1.0,
2009-06-02,0.0,111.0,15575.0,111.0,,5.5178399288e-06,820050.0,0.0,
2009-06-03,0.0,71.0,15646.0,71.0,,3.5294291437e-06,823600.0,0.0,
2009-06-04,0.0,66.0,15712.0,66.0,,3.2808777955e-06,826900.0,0.0,
2009-06-05,0.0,30.0,15742.0,30.0,,1.4913080888e-06,828400.0,0.0,
2009-06-06,0.0,28.0,15770.0,28.0,,1.3918875496e-06,829800.0,0.0,
2009-06-07,0.0,16.0,15786.0,16.0,,7.95364314e-07,830600.0,0.0,
2009-06-08,0.0,82.0,15868.0,82.0,,4.0762421096e-06,834700.0,0.0,
2009-06-09,0.0,91.0,15959.0,91.0,,4.5236345362e-06,839250.0,0.0,
2009-06-10,0.0,82.0,16041.0,82.0,,4.0762421096e-06,843350.0,0.0,
2009-06-11,0.0,89.0,16130.0,89.0,,4.424213997e-06,847800.0,0.0,
2009-06-12,0.0,86.0,16216.0,86.0,,4.2750831881e-06,852100.0,0.0,
2009-06-13,0.0,78.0,16294.0,78.0,,3.8774010311e-06,856000.0,0.0,
2009-06-14,0.0,72.0,16366.0,72.0,,3.5791394133e-06,859600.0,0.0,
2009-06-15,0.0,84.0,16450.0,84.0,,4.1756626488e-06,863800.0,0.0,
2009-06-16,0.0,71.0,16521.0,71.0,,3.5294291437e-06,867350.0,0.0,
2009-06-17,0.0,79.0,16600.0,79.0,,3.9271113007e-06,871300.0,0.0,
2009-06-18,0.0,80.0,16680.0,80.0,,3.9768215703e-06,875300.0,0.0,
2009-06-19,0.0,87.0,16767.0,87.0,,4.3247934577e-06,879650.0,0.0,
2009-06-20,0.0,78.0,16845.0,78.0,,3.8774010311e-06,883550.0,0.0,
2009-06-21,0.0,81.0,16926.0,81.0,,4.02653184e-06,887600.0,0.0,
2009-06-22,0.0,137.0,16942.0,76.0,,3.7779804918e-06,891400.0,1.0,
2009-06-23,0.0,76.0,17018.0,76.0,,3.7779804918e-06,895200.0,0.0,
2009-06-24,0.0,100.0,17112.0,95.0,,4.7224756148e-06,899950.0,2.0,
2009-06-25,0.0,89.0,17160.0,68.0,,3.3802983348e-06,903350.0,1.0,
2009-06-26,0.0,90.0,17250.0,90.0,,4.4739242666e-06,907850.0,0.0,
2009-06-27,0.0,84.0,17334.0,84.0,,4.1756626488e-06,912050.0,0.0,
2009-06-28,0.0,48.0,17381.0,46.0,,2.2866724029e-06,914350.0,1.0,
2009-06-29,0.0,87.0,17462.0,83.0,,4.1259523792e-06,918500.0,2.0,
2009-06-30,0.0,85.0,17547.0,85.0,,4.2253729185e-06,922750.0,0.0,
2009-07-01,0.0,77.0,17619.0,74.0,,3.6785599525e-06,926450.0,1.0,
2009-07-02,0.0,85.0,17703.0,83.0,,4.1259523792e-06,930600.0,1.0,
2009-07-03,0.0,82.0,17785.0,82.0,,4.0762421096e-06,934700.0,0.0,
2009-07-04,0.0,89.0,17874.0,89.0,,4.424213997e-06,939150.0,0.0,
2009-07-05,0.0,79.0,17953.0,79.0,,3.9271113007e-06,943100.0,0.0,
2009-07-06,0.0,84.0,18037.0,84.0,,4.1756626488e-06,947300.0,0.0,
2009-07-07,0.0,69.0,18106.0,69.0,,3.4300086044e-06,950750.0,0.0,
2009-07-08,0.0,74.0,18180.0,74.0,,3.6785599525e-06,954450.0,0.0,
2009-07-09,0.0,86.0,18266.0,86.0,,4.2750831881e-06,958750.0,0.0,
2009-07-10,0.0,81.0,18347.0,81.0,,4.02653184e-06,962800.0,0.0,
2009-07-11,0.0,83.0,18430.0,83.0,,4.1259523792e-06,966950.0,0.0,
2009-07-12,0.0,77.0,18507.0,77.0,,3.8276907614e-06,970800.0,0.0,
2009-07-13,0.0,78.0,18585.0,78.0,,3.8774010311e-06,974700.0,0.0,
2009-07-14,0.0,69.0,18654.0,69.0,,3.4300086044e-06,978150.0,0.0,
2009-07-15,0.0,45.0,18699.0,45.0,,2.2369621333e-06,980400.0,0.0,
2009-07-16,0.0,71.0,18770.0,71.0,,3.5294291437e-06,983950.0,0.0,
2009-07-17,0.0,47.0,18817.0,47.0,,2.3363826725e-06,986300.0,0.0,
2009-07-18,0.0,4.0,18821.0,4.0,,1.988410785e-07,986500.0,0.0,
2009-07-19,0.0,70.0,18891.0,70.0,,3.479718874e-06,990000.0,0.0,
2009-07-20,0.14,192.0,18841.0,70.0,,3.479718874e-06,993500.0,1.0,
2009-07-21,0.0,82.0,18923.0,82.0,,4.0762421096e-06,997600.0,0.0,
2009-07-22,0.0,60.0,18983.0,60.0,,2.9826161777e-06,1000600.0,0.0,
2009-07-23,0.0,76.0,19059.0,76.0,,3.7779804918e-06,1004400.0,0.0,
2009-07-24,0.0,73.0,19132.0,73.0,,3.6288496829e-06,1008050.0,0.0,
2009-07-25,0.0,32.0,19164.0,32.0,,1.5907286281e-06,1009650.0,0.0,
2009-07-26,0.0,21.0,19185.0,21.0,,1.0439156622e-06,1010700.0,0.0,
2009-07-27,0.0,74.0,19259.0,74.0,,3.6785599525e-06,1014400.0,0.0,
2009-07-28,0.0,41.0,19300.0,41.0,,2.0381210548e-06,1016450.0,0.0,
2009-07-29,0.0,22.0,19318.0,19.0,,9.444951229e-07,1017400.0,1.0,
2009-07-30,0.0,17.0,19334.0,15.0,,7.456540444e-07,1018150.0,1.0,
2009-07-31,0.0,17.0,19351.0,17.0,,8.450745837e-07,1019000.0,0.0,
2009-08-01,0.0,28.0,19379.0,28.0,,1.3918875496e-06,1020400.0,0.0,
2009-08-02,0.0,23.0,19402.0,23.0,,1.1433362014e-06,1021550.0,0.0,
2009-08-03,0.0,12.0,19414.0,12.0,,5.965232355e-07,1022150.0,0.0,
2009-08-04,0.0,81.0,19495.0,81.0,,4.02653184e-06,1026200.0,0.0,
