time,CapFutExp10yrUSD
2010-07-18,1539279.661
2010-07-19,1449078.31
2010-07-20,1340489.9262915251
2010-07-21,1420639.7732289021
2010-07-22,1049016.9339509066
2010-07-23,1087254.9735651668
2010-07-24,978773.4765
2010-07-25,907146.6094621707
2010-07-26,1005306.4
2010-07-27,1052498.2162613967
2010-07-28,1057805.4803954563
2010-07-29,1255279.05375
2010-07-30,1161278.0948744891
2010-07-31,1213326.875147603
2010-08-01,1097723.36375
2010-08-02,1078142.25
2010-08-03,1078530.8724612803
2010-08-04,1024853.6610315607
2010-08-05,1096635.8875
2010-08-06,1108817.8666274112
2010-08-07,1060974.2752757887
2010-08-08,1095219.51
2010-08-09,1266233.76
2010-08-10,1247310.9908061437
2010-08-11,1205435.5250000001
2010-08-12,1259600.1250000002
2010-08-13,1160804.8875
2010-08-14,1205968.4667228379
2010-08-15,1172323.0173025418
2010-08-16,1179321.76875
2010-08-17,1260456.7500000002
2010-08-18,1224556.75
2010-08-19,1201258.6624999999
2010-08-20,1179804.83125
2010-08-21,1196159.48
2010-08-22,1187849.1858270015
2010-08-23,1169662.783875
2010-08-24,1171459.25
2010-08-25,1168029.72
2010-08-26,1155131.7377223843
2010-08-27,1171944.3125
2010-08-28,1164869.6225
2010-08-29,1154180.0
2010-08-30,1171794.04725
2010-08-31,1082293.5
2010-09-01,1118939.519310345
2010-09-02,1143871.5175
2010-09-03,1097988.809375
2010-09-04,1122097.1464310351
2010-09-05,1112690.795625
2010-09-06,1111910.03
2010-09-07,1105518.4132822095
2010-09-08,1101327.55
2010-09-09,1103506.4271609073
2010-09-10,1101773.5601794866
2010-09-11,1149021.4511309178
2010-09-12,1110853.74375
2010-09-13,1123269.264
2010-09-14,1119994.251625
2010-09-15,1091394.78
2010-09-16,1118668.40625
2010-09-17,1084496.7574861182
2010-09-18,1102742.75
2010-09-19,1133638.72875
2010-09-20,1122979.4787860909
2010-09-21,1133028.3825
2010-09-22,1119271.310656341
2010-09-23,1124366.3653413204
2010-09-24,1125384.5999999999
2010-09-25,1122288.33675
2010-09-26,1122085.3
2010-09-27,1125890.9753757748
2010-09-28,1120687.2717688265
2010-09-29,1120924.660875
2010-09-30,1120856.57125
2010-10-01,1122303.4031953535
2010-10-02,1111997.7475
2010-10-03,1106021.4011412184
2010-10-04,1110297.3489932783
2010-10-05,1112305.5150000001
2010-10-06,1137982.943625
2010-10-07,1214030.7875
2010-10-08,1530441.2791359136
2010-10-09,1700008.9224999999
2010-10-10,1760870.8259413363
2010-10-11,1722157.625
2010-10-12,1720528.69625
2010-10-13,1901434.6594687786
2010-10-14,1849736.8499999999
2010-10-15,1904373.1875
2010-10-16,1832151.3625
2010-10-17,1850635.7249999999
2010-10-18,1858211.84
2010-10-19,1770420.2785727654
2010-10-20,1797156.9000000001
2010-10-21,1942630.4749999999
2010-10-22,1861128.375
2010-10-23,1898696.308182684
2010-10-24,2088823.121
2010-10-25,2527038.0828267387
2010-10-26,2743315.15
2010-10-27,3410567.65625
2010-10-28,3145754.955
2010-10-29,3453409.125
2010-10-30,3592359.600914388
2010-10-31,3499885.8125
2010-11-01,3537134.2955618007
2010-11-02,3524376.5475
2010-11-03,3512105.21375
2010-11-04,4170635.543042074
2010-11-05,4714100.161146562
2010-11-06,7296268.96850439
2010-11-07,6187660.0
2010-11-08,4426553.008003367
2010-11-09,3955481.9911963814
2010-11-10,4179569.7705132146
2010-11-11,4062745.8175
2010-11-12,4884602.5575
2010-11-13,5027429.7
2010-11-14,5083697.216
2010-11-15,4891699.383124713
2010-11-16,4100284.6875
2010-11-17,4409725.411551723
2010-11-18,4904866.35087697
2010-11-19,5073689.357125
2010-11-20,5160261.927915579
2010-11-21,5046498.196875
2010-11-22,5197516.5
2010-11-23,5160626.0175
2010-11-24,5160444.638342594
2010-11-25,5108075.000000001
2010-11-26,5189034.42
2010-11-27,5164127.399999999
2010-11-28,4952282.326279958
2010-11-29,4208300.888969543
2010-11-30,3800709.2175
2010-12-01,4153567.03125
2010-12-02,4656245.8125
2010-12-03,4584896.905293081
2010-12-04,3744337.1700460194
2010-12-05,3705664.120303914
2010-12-06,3727286.55
2010-12-07,4265524.129000589
2010-12-08,4364541.63
2010-12-09,3655800.6743396386
2010-12-10,3729446.4
2010-12-11,4168703.5500000003
2010-12-12,4020226.6586003774
2010-12-13,4162373.4422004665
2010-12-14,4511916.92925
2010-12-15,4390146.0
2010-12-16,4572877.5975
2010-12-17,4439755.158066195
2010-12-18,4409944.524999999
2010-12-19,4394028.0825000005
2010-12-20,4886850.9375
2010-12-21,4419549.399744299
2010-12-22,4576806.25
2010-12-23,4576712.447346187
2010-12-24,4541100.1
2010-12-25,4576415.57625
2010-12-26,4852728.37110462
2010-12-27,4850040.865940963
2010-12-28,5147635.487500001
2010-12-29,5496315.0
2010-12-30,5496948.75
2010-12-31,5497556.25
2011-01-01,5498235.0
2011-01-02,5498341.360875
2011-01-03,5407818.3125
2011-01-04,5480754.9825
2011-01-05,5480712.602132129
2011-01-06,5464437.175
2011-01-07,5868508.0
2011-01-08,5922377.51625
2011-01-09,5924869.75
2011-01-10,5991383.36225
2011-01-11,5992085.53075
2011-01-12,5849817.635564528
2011-01-13,5828551.53
2011-01-14,7341466.566021326
2011-01-15,7085449.775
2011-01-16,7100792.352375001
2011-01-17,6417003.4875
2011-01-18,5747212.364624999
2011-01-19,5747873.556
2011-01-20,7163022.75
2011-01-21,7713284.799
2011-01-22,8083876.2006489625
2011-01-23,8128253.91
2011-01-24,7715754.353125
2011-01-25,7534239.4375
2011-01-26,7628151.737776692
2011-01-27,7740947.8575
2011-01-28,8169308.375605645
2011-01-29,8068957.1875
2011-01-30,8770484.90341949
2011-01-31,9653249.74686426
2011-02-01,13006423.7950957
2011-02-02,13336656.73302176
2011-02-03,12757573.026875384
2011-02-04,14910757.948866164
2011-02-05,16763535.928853152
2011-02-06,16513142.4
2011-02-07,16356520.141266814
2011-02-08,16883047.0125
2011-02-09,18687519.980708998
2011-02-10,18019228.40974773
2011-02-11,19389232.085550796
2011-02-12,19843684.03347512
2011-02-13,19316961.5625
2011-02-14,19686446.701646768
2011-02-15,19319724.375
2011-02-16,18984277.500304088
2011-02-17,19137323.13274706
2011-02-18,16544345.324261438
2011-02-19,17374802.09031908
2011-02-20,15921363.0
2011-02-21,15383947.660454782
2011-02-22,16145226.416801378
2011-02-23,16569225.0
2011-02-24,18210770.76152104
2011-02-25,16841441.575684547
2011-02-26,17641258.65
2011-02-27,16483108.844228989
2011-02-28,15842807.027308594
2011-03-01,16964716.499729343
2011-03-02,17312018.099999998
2011-03-03,17297884.321680784
2011-03-04,16599653.073125001
2011-03-05,16725397.152715044
2011-03-06,16301894.120009253
2011-03-07,16170629.045617785
2011-03-08,15959512.599967968
2011-03-09,15848488.5
2011-03-10,16967182.74749927
2011-03-11,16218378.0
2011-03-12,16916120.050544456
2011-03-13,16450001.9498125
2011-03-14,16477075.594395068
2011-03-15,16077983.5655
2011-03-16,15691092.203408398
2011-03-17,15216380.39175
2011-03-18,14784488.906820467
2011-03-19,14103678.65625
2011-03-20,13671063.30625
2011-03-21,13993860.398625001
2011-03-22,14919315.78712261
2011-03-23,15668386.865625
2011-03-24,16087139.445262574
2011-03-25,16298237.7796875
2011-03-26,15772095.485
2011-03-27,15160536.45
2011-03-28,14658611.026152488
2011-03-29,14618276.799256166
2011-03-30,14567332.293112595
2011-03-31,14474308.74275
2011-04-01,14281458.626249999
2011-04-02,14427715.5
