time,CapMrktCurUSD
2010-07-18,295959.152
2010-07-19,279285.2
2010-07-20,259000.40498983045
2010-07-21,275266.47129701945
2010-07-22,203749.57397545307
2010-07-23,211735.7237638808
2010-07-24,191099.979
2010-07-25,177670.48975406183
2010-07-26,197542.8
2010-07-27,207278.65656312095
2010-07-28,208769.15183050855
2010-07-29,248340.72
2010-07-30,230303.12769257752
2010-07-31,241276.9711321448
2010-08-01,218982.4
2010-08-02,215766.0
2010-08-03,216490.8333638224
2010-08-04,206374.31817650504
2010-08-05,221460.5
2010-08-06,224350.99334716547
2010-08-07,215104.78211572173
2010-08-08,222622.995
2010-08-09,258019.52
2010-08-10,254792.092898305
2010-08-11,246978.75
2010-08-12,258797.0
2010-08-13,239156.325
2010-08-14,249354.02645599077
2010-08-15,243036.4024661016
2010-08-16,244943.8
2010-08-17,262223.5
2010-08-18,255183.6
2010-08-19,250755.315
2010-08-20,246876.05
2010-08-21,250842.6
2010-08-22,249762.08508182343
2010-08-23,246593.09
2010-08-24,247633.75
2010-08-25,247571.64
2010-08-26,245474.96536879017
2010-08-27,249574.0
2010-08-28,248587.26
2010-08-29,246796.8
2010-08-30,251021.3405
2010-08-31,232371.0
2010-09-01,240699.74841379313
2010-09-02,246530.9
2010-09-03,237114.195
2010-09-04,242852.800948276
2010-09-05,241298.1
2010-09-06,241589.04
2010-09-07,240663.61006247785
2010-09-08,240227.15
2010-09-09,241092.44821946227
2010-09-10,241224.31402250167
2010-09-11,252049.9618790181
2010-09-12,244191.9
2010-09-13,247423.547
2010-09-14,247296.707
2010-09-15,241464.1
2010-09-16,248138.53
2010-09-17,241148.11407948547
2010-09-18,245887.95
2010-09-19,253395.78
2010-09-20,251608.28778988912
2010-09-21,254368.3975
2010-09-22,251788.04777206303
2010-09-23,253620.51570017525
2010-09-24,254519.29
2010-09-25,254424.646
2010-09-26,254978.1
2010-09-27,256514.62217650507
2010-09-28,255947.85551572175
2010-09-29,256480.748
2010-09-30,256891.19
2010-10-01,257672.6443319696
2010-10-02,255595.92
2010-10-03,254573.3302811221
2010-10-04,255999.44755552296
2010-10-05,256826.99
2010-10-06,263261.834
2010-10-07,281359.8
2010-10-08,355302.6711880769
2010-10-09,395367.0
2010-10-10,410335.8386236121
2010-10-11,402025.75
2010-10-12,402338.04
2010-10-13,445510.96885634033
2010-10-14,434382.3
2010-10-15,448087.5
2010-10-16,432320.4
2010-10-17,437977.8
2010-10-18,440970.24
2010-10-19,421311.0197466396
2010-10-20,428902.65
2010-10-21,464556.55
2010-10-22,445808.375
2010-10-23,455667.3527996489
