time,FlowInExUSD
2011-04-24,228.4777907656342
2011-04-25,0.0
2011-04-26,0.0
2011-04-27,0.0
2011-04-28,0.0
2011-04-29,0.0
2011-04-30,0.0
2011-05-01,0.0
2011-05-02,0.0
2011-05-03,0.0
2011-05-04,0.0
2011-05-05,0.0
2011-05-06,0.0
2011-05-07,0.0
2011-05-08,38.4866837697253
2011-05-09,155.96767286674452
2011-05-10,129.00495099536283
2011-05-11,299.9478725570078
2011-05-12,8.678783811233195
2011-05-13,214.1380073594273
2011-05-14,121.85597019221512
2011-05-15,145.49267098368793
2011-05-16,25.784410236732914
2011-05-17,301.2463529311163
2011-05-18,486.81249882275847
2011-05-19,323.63004641282896
2011-05-20,1087.1016182963174
2011-05-21,455.3256339449797
2011-05-22,480.1733350832028
2011-05-23,333.1975099217533
2011-05-24,278.34003788755143
2011-05-25,793.9446848730864
2011-05-26,390.27898749802466
2011-05-27,2938.719848369508
2011-05-28,1217.8243938159212
2011-05-29,184.8209763892461
2011-05-30,176.55257696392167
2011-05-31,1371.991186940958
2011-06-01,239.3433397605376
2011-06-02,190.61615965955616
2011-06-03,1608.7668631510248
2011-06-04,971.0160146262176
2011-06-05,13139.880565077032
2011-06-06,729.2751692644068
2011-06-07,7191.891005478959
2011-06-08,7552.424332356744
2011-06-09,7519.815953684401
2011-06-10,7719.616658363053
2011-06-11,3840.035481928768
2011-06-12,6327.59871002267
2011-06-13,5023.382390981467
2011-06-14,7734.84471576341
2011-06-15,5988.299191475016
2011-06-16,4270.219053054121
2011-06-17,2035.6827545268168
2011-06-18,1860.6821040687273
2011-06-19,2964.6122796074296
2011-06-20,1398.1923773384237
2011-06-21,1262.1917256574852
2011-06-22,6010.736457854918
2011-06-23,2698.7429165244816
2011-06-24,3395.4584394571298
2011-06-25,1544.2491009690157
2011-06-26,1048.1811955699507
2011-06-27,9485.141798892957
2011-06-28,3444.1176209481146
2011-06-29,3191.0332832152963
2011-06-30,1414.2097777985316
2011-07-01,1326.9603050930918
2011-07-02,794.6900309082087
2011-07-03,1375.4094140501702
2011-07-04,3432.9189494364637
2011-07-05,4964.079599160976
2011-07-06,2826.3431041576846
2011-07-07,960.5131923334093
2011-07-08,4586.366239187972
2011-07-09,2728.5688857109576
2011-07-10,2348.2889430502446
2011-07-11,1638.494274308682
2011-07-12,2200.8399922914045
2011-07-13,2599.609965163907
2011-07-14,5874.7510523366045
2011-07-15,1385.3854896775556
2011-07-16,838.8691931581386
