time,UTXOCnt
2009-01-17,750.0
2009-01-22,1332.0
2009-01-27,1910.0
2009-02-01,2497.0
2009-02-06,3123.0
2009-02-11,3676.0
2009-02-15,4270.0
2009-02-21,4841.0
2009-02-26,5449.0
2009-03-04,6017.0
2009-03-10,6596.0
2009-03-15,7199.0
2009-03-20,7747.0
2009-03-26,8359.0
2009-04-01,8916.0
2009-04-06,9554.0
2009-04-12,10167.0
2009-04-17,10781.0
2009-04-22,11281.0
2009-04-28,11894.0
2009-05-03,12484.0
2009-05-08,13092.0
2009-05-14,13715.0
2009-05-20,14348.0
2009-05-27,14991.0
2009-06-02,15565.0
2009-06-12,16189.0
2009-06-20,16812.0
2009-06-28,17384.0
2009-07-06,18010.0
2009-07-14,18646.0
2009-07-24,19174.0
2009-08-08,19700.0
2009-08-20,20339.0
2009-09-02,20934.0
2009-09-12,21545.0
2009-09-21,22084.0
2009-09-29,22600.0
2009-10-09,23238.0
2009-10-19,23720.0
2009-10-26,24187.0
2009-11-07,24708.0
2009-11-15,25273.0
2009-11-22,25801.0
2009-11-30,26417.0
2009-12-07,26857.0
2009-12-13,27373.0
2009-12-18,27639.0
2009-12-21,28256.0
2009-12-25,28874.0
2009-12-29,29500.0
2010-01-03,30180.0
2010-01-06,30719.0
2010-01-10,31337.0
2010-01-14,31747.0
2010-01-18,32348.0
2010-01-23,32963.0
2010-01-26,33524.0
2010-01-29,34086.0
2010-02-02,34647.0
2010-02-05,34977.0
2010-02-08,35576.0
2010-02-11,35064.0
2010-02-14,35489.0
2010-02-17,35980.0
2010-02-20,36542.0
2010-02-23,36767.0
2010-02-26,37144.0
2010-03-02,37622.0
2010-03-05,37715.0
2010-03-09,37888.0
2010-03-13,38373.0
2010-03-18,38950.0
2010-03-22,39324.0
2010-03-25,39815.0
2010-03-28,40031.0
2010-04-01,40632.0
2010-04-05,41146.0
2010-04-08,41493.0
2010-04-11,41739.0
2010-04-14,42066.0
2010-04-17,41888.0
2010-04-20,44966.0
2010-04-23,45396.0
2010-04-27,45730.0
2010-05-01,46198.0
2010-05-05,46434.0
2010-05-10,46402.0
2010-05-15,45810.0
2010-05-19,45164.0
2010-05-23,45369.0
2010-05-26,45824.0
2010-05-29,46214.0
2010-06-02,46588.0
2010-06-06,46976.0
2010-06-10,47195.0
2010-06-14,47572.0
2010-06-18,48009.0
2010-06-22,48299.0
2010-06-26,48795.0
2010-06-30,48989.0
2010-07-03,48430.0
2010-07-07,48550.0
2010-07-10,48947.0
2010-07-12,50636.0
2010-07-13,51679.0
2010-07-14,57165.0
2010-07-15,56821.0
2010-07-17,57549.0
2010-07-21,57884.0
2010-07-24,58546.0
2010-07-27,58028.0
2010-07-30,57934.0
2010-08-02,58275.0
2010-08-05,58888.0
2010-08-08,58942.0
2010-08-11,58294.0
2010-08-14,58756.0
2010-08-18,58072.0
2010-08-22,58492.0
2010-08-25,58447.0
2010-08-28,58812.0
2010-08-31,58835.0
2010-09-04,59105.0
2010-09-08,59517.0
2010-09-12,60013.0
2010-09-15,60259.0
2010-09-18,60177.0
2010-09-21,60461.0
2010-09-24,60796.0
2010-09-27,61141.0
2010-10-01,60354.0
2010-10-05,60609.0
2010-10-09,60640.0
2010-10-13,60893.0
2010-10-16,60963.0
2010-10-19,61169.0
2010-10-21,61663.0
2010-10-25,62134.0
2010-10-27,62471.0
2010-10-30,62673.0
2010-11-03,62967.0
2010-11-06,63092.0
2010-11-08,63389.0
2010-11-11,63073.0
2010-11-14,63379.0
2010-11-17,66921.0
2010-11-20,67421.0
2010-11-24,67897.0
2010-11-28,65071.0
2010-12-01,65663.0
2010-12-04,65894.0
2010-12-07,66441.0
2010-12-09,66902.0
2010-12-13,67825.0
2010-12-17,68511.0
2010-12-21,69307.0
2010-12-24,70513.0
2010-12-28,71623.0
2011-01-01,72578.0
2011-01-05,73459.0
2011-01-09,74804.0
2011-01-13,76314.0
2011-01-16,77343.0
2011-01-20,78905.0
2011-01-23,79983.0
2011-01-27,81518.0
2011-01-31,82985.0
2011-02-04,83611.0
2011-02-07,84657.0
2011-02-10,86379.0
2011-02-14,89727.0
2011-02-16,91885.0
2011-02-19,94231.0
2011-02-23,97800.0
2011-02-25,100757.0
2011-02-28,103039.0
2011-03-04,107666.0
2011-03-06,108174.0
2011-03-09,110623.0
2011-03-14,113408.0
2011-03-19,115898.0
2011-03-24,121195.0
2011-03-28,125953.0
2011-03-31,131059.0
2011-04-04,135093.0
2011-04-08,139361.0
2011-04-11,142635.0
2011-04-15,145075.0
2011-04-19,147474.0
2011-04-23,150152.0
2011-04-26,152106.0
2011-04-30,155598.0
2011-05-03,158321.0
2011-05-06,161923.0
2011-05-09,167188.0
2011-05-12,170428.0
2011-05-15,173023.0
2011-05-17,182083.0
2011-05-20,191516.0
2011-05-23,200086.0
2011-05-25,209570.0
2011-05-27,217404.0
2011-05-31,231966.0
2011-06-03,238349.0
2011-06-06,251127.0
2011-06-09,257341.0
2011-06-12,275518.0
2011-06-14,295679.0
2011-06-17,312214.0
2011-06-20,339559.0
2011-06-23,367329.0
2011-06-26,392435.0
2011-06-30,415138.0
2011-07-03,461018.0
2011-07-07,486136.0
2011-07-11,526856.0
2011-07-15,570858.0
2011-07-19,601305.0
2011-07-23,637896.0
2011-07-27,667683.0
2011-07-31,704058.0
2011-08-03,728667.0
2011-08-08,757381.0
2011-08-13,778931.0
2011-08-17,800734.0
2011-08-22,836154.0
2011-08-26,874810.0
2011-08-31,898875.0
2011-09-04,986301.0
2011-09-08,1001447.0
2011-09-13,1007291.0
2011-09-18,1019104.0
2011-09-22,1030516.0
2011-09-27,1070405.0
2011-10-01,1086740.0
2011-10-06,1097665.0
2011-10-11,1110139.0
2011-10-16,1119776.0
2011-10-22,1131475.0
2011-10-27,1145841.0
2011-11-01,1155415.0
2011-11-06,1164740.0
2011-11-10,1174819.0
2011-11-15,1185213.0
2011-11-19,1193147.0
2011-11-24,1202870.0
2011-11-29,1211796.0
2011-12-03,1217109.0
2011-12-08,1227582.0
2011-12-12,1232918.0
2011-12-17,1242438.0
2011-12-21,1245936.0
2011-12-26,1257062.0
2011-12-30,1265539.0
2012-01-03,1265280.0
2012-01-07,1260511.0
2012-01-12,1254495.0
2012-01-16,1262423.0
2012-01-21,1270880.0
2012-01-25,1281612.0
2012-01-29,1289461.0
2012-02-02,1299617.0
2012-02-07,1309646.0
2012-02-11,1320812.0
2012-02-16,1335071.0
2012-02-20,1347679.0
2012-02-24,1359445.0
2012-02-28,1371391.0
2012-03-04,1382564.0
2012-03-08,1397615.0
2012-03-12,1409490.0
2012-03-17,1416290.0
2012-03-21,1429212.0
2012-03-25,1445306.0
2012-03-30,1457259.0
2012-04-03,1468804.0
2012-04-08,1476609.0
